model,image,people,predict_ms_mean,predict_ms_median,predict_ms_p95,predict_ms_min,predict_ms_max,warmup_per_image,repeats
M,bus.jpg,4,17.722437088377774,17.074854986276478,20.522881497163322,16.78127096965909,22.639011032879353,3,10
M,zidane.jpg,3,17.578128480818123,17.523241986054927,18.172883306397125,16.98213699273765,18.22734100278467,3,10
M,coco_val2017_000000000785.jpg,1,16.37110060546547,16.114012978505343,17.653023736784235,15.914928982965648,18.35106103681028,3,10
L,bus.jpg,4,22.253129293676466,21.578312036581337,25.181415979750447,21.429177024401724,27.490266948007047,3,10
L,zidane.jpg,2,21.886946307495236,21.560126508120447,23.46392117324285,21.435676026158035,24.989094003103673,3,10
L,coco_val2017_000000000785.jpg,1,20.922411093488336,20.537589502055198,22.086279332870618,20.377348992042243,22.13097200728953,3,10
2XL,bus.jpg,4,49.5525261037983,49.17650151764974,52.59776600287295,48.228793079033494,54.2884609894827,3,10
2XL,zidane.jpg,2,49.003949435427785,48.84508048417047,49.89400915801525,48.30578900873661,49.95043110102415,3,10
2XL,coco_val2017_000000000785.jpg,1,47.30471931397915,47.07430396229029,48.358261736575514,46.940410044044256,48.58190903905779,3,10
